No,Kalimat,Deskripsi Topik,Detail Topik,Sentimen,Skor Sentimen
1,Alhamdulillah sangat mempermudah Skali,Topik Tidak Relevan,Tidak Ditemukan,Positif,0.998
2,bagus terbukti dan stnk sudah sampai di rumah dengan ama,Layanan Pengiriman STNK ke Rumah,"rumah, langsung, kirim, stnk, samsat",Positif,0.912
3,terimakasih signal,Proses Pengurusan via Aplikasi SIGNAL,"signal, urus, samsat, digital, ambil",Positif,0.965
4,aku akan bayar pajak melalui signal,Pembayaran Pajak Kendaraan Online,"bayar, pajak, kendara, tahun, online",Netral,0.58
5,terimakasih bapenda dan pemerintah prop Lampung,Perbandingan Layanan Online vs. Kantor Samsat,"kantor, samsat, online, daerah, kota",Positif,0.992
6,aplikasi sangat membantu,Topik Tidak Relevan,Tidak Ditemukan,Positif,0.927
7,namum saat pengiriman dokumen nya lama sekali,Layanan Jasa Kurir Pengiriman,"pos, kirim, via, indonesia, guna",Negatif,0.936
8,tapi buat yang awam aplikasi ini cukup membantu,Fitur dan Layanan Bantuan Aplikasi,"bikin, sistem, antar, chat, cek",Positif,0.768
9,terus tingkatkan lagi agar mudah dalam akses nya,Permintaan Bantuan dan Saran Peningkatan,"bantu, tingkat, proses, samsat, rantau",Netral,0.685
10,tolong di bantu pengiriman blm jg sampai mau live chat tidak bisa agent tidak berada di tempat,Fitur dan Layanan Bantuan Aplikasi,"bikin, sistem, antar, chat, cek",Negatif,0.998
11,sangat membantu luarbiasa proses pengiriman STNK sangat cepat,Proses dan Durasi Pengiriman STNK,"kirim, proses, stnk, tanggal, minggu",Positif,0.964
12,mantap pelayanan cepet,Kualitas Pelayanan dan Antrean di Samsat,"layan, antri, samsat, masyarakat, respon",Positif,0.999
13,Proses beserta pengiriman memakan waktu sekitar Minggu lebih,Proses dan Durasi Pengiriman STNK,"kirim, proses, stnk, tanggal, minggu",Negatif,0.964
14,Banten Jakarta,Permintaan Bantuan dan Saran Peningkatan,"bantu, tingkat, proses, samsat, rantau",Netral,0.556
15,Mantap jadi lebih cepat,Topik Tidak Relevan,Tidak Ditemukan,Positif,1.0
16,aplikasinya sering trouble kalau mau bayar pajak pakai aplikasi jauh dari jatuh tempo aja karena takut dekat jatuh tempo apknya trouble,Perbandingan Layanan Online vs. Kantor Samsat,"kantor, samsat, online, daerah, kota",Negatif,0.982
17,pelayanan sangat bagus mempermudah saya,Kualitas Pelayanan dan Antrean di Samsat,"layan, antri, samsat, masyarakat, respon",Positif,0.997
18,Alhamdulillah memudahkan saran untuk motor atas nama orang lain semoga kedepan bisa bayar lewat app ini,Pembayaran Pajak Kendaraan Online,"bayar, pajak, kendara, tahun, online",Positif,0.89
19,sangat membantu aplikasi ini alhandulillah proses cepat dan yg terpenting tanpa antri sat set sat set bisa di rumah aja tinggal tunggu stnk dateng di anter POS the best SIGNAL,Kualitas Pelayanan dan Antrean di Samsat,"layan, antri, samsat, masyarakat, respon",Positif,0.998
20,konfirmasi penerimaan STNK malah kasih rating,Perpanjangan STNK 5 Tahunan (Ganti Plat),"stnk, panjang, samsat, ganti, plat",Negatif,0.745
21,udah ke x Ngurus E TBPKP lewat signal sumpah g ribet cepet banget tinggal input data yg dibutuhkan dan TF selesai,Proses Pengurusan via Aplikasi SIGNAL,"signal, urus, samsat, digital, ambil",Positif,0.982
22,bukti E TBPKP nya pun mas POS berbaik hati mo ngirim ampe rumah pendaftaran udah pembayaran udah sedang di proses check penerbitan dokumen digital juga check,Proses Pengurusan via Aplikasi SIGNAL,"signal, urus, samsat, digital, ambil",Negatif,0.968
23,nah disini nih yg bikin hedeh,Fitur dan Layanan Bantuan Aplikasi,"bikin, sistem, antar, chat, cek",Negatif,0.964
24,kasian mas POS nya nungguin buktinya ampe hari baru dikirm,Layanan Jasa Kurir Pengiriman,"pos, kirim, via, indonesia, guna",Negatif,0.961
25,entah dimana nya yg perlu diperbaiki za,Perbandingan Layanan Online vs. Kantor Samsat,"kantor, samsat, online, daerah, kota",Netral,0.753
26,makasi,Topik Tidak Relevan,Tidak Ditemukan,Positif,0.942
27,sehat selalu pak petugas,Fitur dan Layanan Bantuan Aplikasi,"bikin, sistem, antar, chat, cek",Netral,0.493
28,terima kasih mas POS,Layanan Jasa Kurir Pengiriman,"pos, kirim, via, indonesia, guna",Positif,0.866
29,sangat membantu sekali puas banggat pelayanannya,Kualitas Pelayanan dan Antrean di Samsat,"layan, antri, samsat, masyarakat, respon",Positif,0.996
30,cocok buat yg males ngantri bayar pajak apalagi yg diluar kota kendala di pengiriman lumayan lama Tegal jakarta seminggu baru nyampe,Pembayaran Pajak Kendaraan Online,"bayar, pajak, kendara, tahun, online",Negatif,0.729
